name,affiliate,place,totalPoints,Hoppin and Poppin,3-1-2 Its So Complex,Toss it Im Over It Row,Toss it Im Over It Metcon,Get on Up n Git Down,WOD1,WOD2,WOD3,WOD4,WOD5
Lady & the Tramp,INDIGO STRENGTH & CONDITIONING,1,27,03:57,330,200,330,04:16,1,19,2,4,1
We're Gonna Need an Rx After This,CROSSFIT BOTHELL,2,35,04:23,365,197,324,04:52,15,3,4,6,7
No C4 For You,INDEPENDENT,3,56,04:41,380,193,331,05:01,35,1,6,3,11
Dynamic Duo,MORTAR CROSSFIT,4,65,04:28,345,200,299,04:43,21,6,2,33,3
Impact Velocity,CROSSFIT SONORA,5,70,04:24,325,197,305,04:45,17,24,4,21,4
"WOD now, ADVIL later",CROSSFIT RENAISSANCE,6,82,04:37,330,188,312,04:51,30,19,11,17,5
Hot-N-Tired,CROSSFIT GROUND UP,7,92,04:06,330,188,301,05:35,4,19,11,25,33
In WOD We Trust,PERDIDO BAY CROSSFIT,8,96,04:40,345,185,300,05:04,32,6,20,26,12
Get Off My Lawn,WEST LITTLE ROCK CROSSFIT,9,99,04:36,340,192,302,05:29,27,11,7,24,30
Unbreakables,SOLUTION 1 CROSSFIT,10,106,04:06,310,171,324,04:59,4,40,47,6,9
"Jack of all lifts, Masters of none ",BULL RIDGE FITNESS,11,117,04:10,360,171,292,05:07,8,4,47,45,13
ABL,CROSSFIT RAILS,11,117,04:27,320,184,305,05:27,19,28,21,21,28
May Contain Alcohol,CROSSFIT CONNECTION BURLINGTON,13,130,04:46,330,174,318,05:08,42,19,43,12,14
Sipp'n on Gym & Juice,CROSSFIT GLYNCO,14,145,04:48,340,188,306,06:07,45,11,11,20,58
MILF 'n' DILF,CROSSFIT KILGARD,15,148,04:30,335,182,279,05:09,24,17,28,61,18
Sippin' on Gym & Juice,RURAL STRENGTH AND CONDITIONING,16,149,04:40,380,189,296,06:19,32,1,10,39,67
Woodslawn Warriors,WOODSLAWN FITNESS,17,151,04:29,300,168,317,04:57,22,49,57,15,8
BCB Masters,INDEPENDENT,18,154,04:09,260,176,321,04:37,7,101,36,8,2
Schoolyard Spartans ,TREIGN PERFORMANCE,19,159,04:43,350,170,300,05:39,39,5,50,26,39
achy breaky joints,CROSSFIT1825,20,161,04:12,315,176,296,05:46,9,33,36,39,44
She’s Carrying Me ,TRVFIT HARTLAND,21,171,04:02,300,173,274,04:51,2,49,45,70,5
Luci All Balz & Desi,CROSSFIT AMBTION,22,173,04:27,275,174,319,05:17,19,81,43,11,19
Burpee'n up Tequila,CROSSFIT 7070,23,176,04:35,315,159,304,05:08,26,33,80,23,14
Heart Attack ,TABLE ROCK CROSSFIT,24,177,04:48,320,188,293,05:59,45,28,11,42,51
Days and Weeks,INDEPENDENT,25,181,05:06,325,188,309,05:48,80,24,11,19,47
8:06,CROSSFIT INCENDIA,26,182,04:47,325,169,298,05:25,44,24,53,36,25
2 FIT 2 QUIT,PRESCRIBED FITNESS,27,183,04:58,310,180,321,05:44,64,40,29,8,42
The Naughty Kids,INDEPENDENT,28,188,04:53,345,168,284,05:18,52,6,57,53,20
Sleeping with the Secretary ,CROSSFIT FAIRHOPE,28,188,04:22,300,188,265,05:36,13,49,11,79,36
CreaTINA and WheyD,FCCF,30,205,04:53,280,184,299,05:26,52,72,21,33,27
Daggum Parakeets,THE BOX RS,31,210,04:19,275,163,300,05:21,11,81,71,26,21
Kir-aul,CMB FITNESS,32,212,04:20,315,148,321,05:52,12,33,110,8,49
MorZilla,CROSSFIT 327,33,215,04:36,335,168,291,06:19,27,17,57,47,67
Guilty As Charged,CROSSFIT AMBITION,34,221,05:19,300,191,300,05:38,99,49,9,26,38
Scaling Swolemates,CROSSFIT UNBREAKABLE,35,223,04:43,300,166,318,06:09,39,49,63,12,60
Hustle & Grit,INDEPENDENT,35,223,04:58,300,187,300,06:19,64,49,17,26,67
Not Dead Yet,TRUTH FITNESS CROSSFIT PUYALLUP,37,237,04:45,265,184,283,05:23,41,97,21,56,22
Butts & Bellies,INDEPENDENT,37,237,04:26,250,165,328,05:34,18,115,67,5,32
K Squared,INDEPENDENT,37,237,05:14,300,167,318,05:23,93,49,61,12,22
Seismic Geriatric Crew,SEISMIC CROSSFIT,40,241,05:09,315,192,259,05:30,84,33,7,86,31
Buck Furpees,INDEPENDENT,41,243,04:05,275,156,282,05:08,3,81,87,58,14
Recess Rebels,CROSSFIT REDEMPTION,42,245,05:00,310,161,298,05:25,69,40,75,36,25
"Mercules, mercules, mercules (hands clapping) ",PLUS ULTRA FITNESS,43,252,05:14,310,184,284,05:47,93,40,21,53,45
Master Rhinos,CAMP RHINO,44,254,04:23,235,169,339,06:03,15,129,53,2,55
Gray Beard and A Beauty,A-TOWN FAMILY FITNESS,45,261,04:42,305,171,275,06:14,36,47,47,68,63
DFWV,ADAMANTIUM WEIGHTLIFTING,45,261,04:54,265,175,310,05:57,57,97,39,18,50
