,name,affiliate,Hoppin' and Poppin'!,3-1-2? It's So Complex!,"Toss it, I'm Over It! (Row)","Toss it, I'm Over It! (Metcon)",Get on Up 'n Git Down,WOD1,WOD2,WOD3,WOD4,WOD5,Total
0,Luci All Balz & Desi,CROSSFIT AMBTION,04:27,275,174,319,05:17,20.0,92.0,50.0,12.0,22.0,196.0
1,Guilty As Charged,CROSSFIT AMBITION,05:19,300,191,300,05:38,110.0,59.0,13.0,31.0,46.0,259.0
2,achy breaky joints,CROSSFIT1825,04:12,315,176,296,05:46,9.0,43.0,43.0,45.0,53.0,193.0
3,Bio Freeze,BE STRONG,05:18,270,180,291,05:00,107.0,100.0,34.0,53.0,11.0,305.0
4,K Squared,INDEPENDENT,05:14,300,167,318,05:23,104.0,59.0,70.0,13.0,26.0,272.0
5,Perpetual Fitness,LIGHT THE FIRE CROSSFIT,05:06,275,180,276,06:52,91.0,92.0,34.0,76.0,110.0,403.0
6,The OG's,MISSING LINK CROSSFIT,05:05,195,116,265,07:56,88.0,158.0,163.0,91.0,141.0,641.0
7,Master Rhinos,CAMP RHINO,04:23,235,169,339,06:03,16.0,143.0,62.0,2.0,66.0,289.0
8,Death By Festivus,COAL ROAD CROSSFIT,05:52,230,167,247,07:22,134.0,145.0,70.0,122.0,131.0,602.0
9,Follicly Challenged,CROSSFIT MT JULIET,04:30,410,178,250,06:09,25.0,4.0,41.0,109.0,72.0,251.0
10,Recess Rebels,CROSSFIT REDEMPTION,05:00,310,161,298,05:25,77.0,50.0,87.0,42.0,29.0,285.0
11,Kir-aul,CMB FITNESS,04:20,315,148,321,05:52,12.0,43.0,126.0,9.0,60.0,250.0
12,In WOD We Thrust,CROSSFIT REDEMPTION,05:29,280,152,278,07:18,125.0,83.0,117.0,71.0,127.0,523.0
13,Call My Emergency Contact,CMB FITNESS,05:24,290,149,250,08:16,113.0,73.0,124.0,109.0,145.0,564.0
14,Shemademedoit,REDEMPTION FITNESS- CROSSFIT WAUKESHA,06:57,210,139,229,08:10,155.0,154.0,146.0,138.0,143.0,736.0
15,Cereal Lovers,INDEPENDENT,06:20,410,204,271,05:11,150.0,4.0,4.0,81.0,20.0,259.0
16,EA - Team,EVERYDAY ATHLETES CROSSFIT,06:06,430,201,250,05:33,144.0,3.0,5.0,109.0,37.0,298.0
17,Partners In Fine,413 FIT CLUB,06:42,375,178,233,05:36,152.0,10.0,41.0,136.0,43.0,382.0
18,Bellie Bros,DERBY CITY CROSSFIT,08:07,365,170,283,05:47,160.0,11.0,58.0,63.0,54.0,346.0
