"name","affiliate","Hoppin' and Poppin'!","3-1-2? It's So Complex!","Toss it, I'm Over It! (Row)","Toss it, I'm Over It! (Metcon)","Get on Up 'n Git Down"
Luci All Balz & Desi,CROSSFIT AMBTION,04:27,275,174,319,05:17
Guilty As Charged,CROSSFIT AMBITION,05:19,300,191,300,05:38
achy breaky joints,CROSSFIT1825,04:12,315,176,296,05:46
Bio Freeze,BE STRONG,05:18,270,180,291,05:00
K Squared,INDEPENDENT,05:14,300,167,318,05:23
Perpetual Fitness,LIGHT THE FIRE CROSSFIT,05:06,275,180,276,06:52
The OG's ,MISSING LINK CROSSFIT,05:05,195,116,265,07:56
Master Rhinos,CAMP RHINO,04:23,235,169,339,06:03
Death By Festivus,COAL ROAD CROSSFIT,05:52,230,167,247,07:22
Follicly Challenged,CROSSFIT MT JULIET,04:30,410,178,250,06:09
Recess Rebels,CROSSFIT REDEMPTION,05:00,310,161,298,05:25
Kir-aul,CMB FITNESS,04:20,315,148,321,05:52
In WOD We Thrust,CROSSFIT REDEMPTION,05:29,280,152,278,07:18
Call My Emergency Contact,CMB FITNESS,05:24,290,149,250,08:16
Shemademedoit,REDEMPTION FITNESS- CROSSFIT WAUKESHA,06:57,210,139,229,08:10
Cereal Lovers,INDEPENDENT,06:20,410,204,271,05:11
EA - Team,EVERYDAY ATHLETES CROSSFIT,06:06,430,201,250,05:33
Partners In Fine,413 FIT CLUB,06:42,375,178,233,05:36
Bellie Bros,DERBY CITY CROSSFIT,08:07,365,170,283,05:47
Coalition,CROSSFIT ENAPAY,09:11,360,155,235,05:20
Biggie Smalls,CROSSFIT 222,07:22,345,171,227,06:19
Team Hot Rod,CROSSFIT ARGONAUT,05:25,285,135,266,-
Gray Beard and A Beauty,A-TOWN FAMILY FITNESS,04:42,305,171,275,06:14
Masters Disasters ,CROSSFIT CADRE,05:01,315,170,265,06:34
End of Anxiety,ALWAYS FORWARD CROSSFIT,04:58,250,167,301,06:06
Vegan otters,CROSSFIT INCOGNITO,05:01,230,155,336,05:51
Soggy Buns,CROSSFIT FOX DEN,05:00,290,186,252,06:06
Jaeger Bums,DOWNTOWN FITNESS COMPOUND,05:19,240,155,236,06:25
